id,seller,price,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id
0,3.0,7139520.0,59.2,12.5,31.0,2.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0,4076
1,,10500000.0,88.0,14.2,48.0,18.0,3.0,1.0,,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1893
2,3.0,9019650.0,78.5,22.5,40.8,12.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,5176
3,,10500000.0,88.0,14.0,48.0,18.0,3.0,,,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1893
4,,13900000.0,78.0,17.0,35.0,7.0,2.0,1.0,2.9,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,6604
5,3.0,5464800.0,36.0,5.8,21.6,1.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0,4162
6,,7100000.0,38.5,7.4,18.9,17.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,7737
7,,5950000.0,37.6,9.8,19.0,16.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4904
8,,8700000.0,106.9,12.8,67.9,21.0,3.0,1.0,2.8,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5100
9,,10990000.0,63.6,10.4,32.5,7.0,2.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,5287
10,,13650000.0,71.0,14.0,37.0,1.0,2.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,28
11,,15700000.0,90.5,13.1,55.0,11.0,3.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5966
12,3.0,4045140.0,19.8,5.2,9.6,17.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
13,,5000000.0,24.0,,16.0,5.0,1.0,,,1.0,0.0,,,,,,2.0,1976
14,,5400000.0,32.3,8.2,14.3,4.0,1.0,,,0.0,1.0,,,1.0,0.0,0.0,1.0,7496
15,,5470000.0,23.0,,,7.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,8427
16,,5950000.0,37.0,6.0,26.0,7.0,2.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,4714
17,,6170000.0,42.2,7.2,19.0,8.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,6176
18,,6150000.0,40.0,7.5,19.1,2.0,1.0,,2.74,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9472
19,,7200000.0,60.0,16.0,30.0,6.0,2.0,,,0.0,2.0,,,1.0,0.0,0.0,1.0,7496
20,,7600000.0,60.0,,,3.0,2.0,,,1.0,0.0,,,1.0,0.0,0.0,1.0,6300
21,,9200000.0,68.0,10.0,42.5,17.0,3.0,2.0,2.85,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1975
22,3.0,11960000.0,119.6,20.5,62.1,9.0,4.0,,2.65,0.0,3.0,1.0,1.0,,,,1.0,5751
23,,13500000.0,63.0,12.0,,2.0,2.0,,,1.0,0.0,,,0.0,1.0,3.0,1.0,8544
24,,13650000.0,70.0,,,1.0,2.0,,,0.0,1.0,,,1.0,0.0,2.0,1.0,28
25,,15850000.0,83.2,,,15.0,3.0,,,0.0,2.0,,,1.0,0.0,2.0,1.0,1119
26,,16900000.0,104.0,,,10.0,4.0,,,0.0,1.0,,,1.0,0.0,2.0,1.0,6604
27,3.0,3910450.0,19.7,5.1,9.7,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
28,3.0,4237740.0,23.4,6.1,11.3,12.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
29,,4450000.0,50.2,11.0,35.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,,,0.0,1.0,7904
30,,4500000.0,27.0,5.0,15.0,19.0,1.0,,,,,,,,,,1.0,3235
31,3.0,4568400.0,27.0,6.9,12.7,10.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
32,,34999000.0,73.0,,,20.0,2.0,,,,,,,,,2.0,2.0,2401
33,3.0,5197920.0,33.6,10.7,11.5,6.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5751
34,,5150000.0,22.8,3.1,13.3,4.0,1.0,,,1.0,0.0,1.0,0.0,,,2.0,1.0,8427
35,,5250000.0,23.2,,,9.0,1.0,,2.7,1.0,0.0,0.0,1.0,,,3.0,2.0,8427
36,,5350000.0,36.2,10.0,14.0,7.0,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,8631
37,,5537000.0,44.0,11.0,16.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,,1.0,1489
38,3.0,5541250.0,32.5,6.0,14.7,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4028
39,3.0,5674920.0,39.3,18.1,11.1,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5751
40,3.0,6035600.0,39.5,19.6,11.2,15.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
41,,6150000.0,42.3,16.1,15.1,5.0,1.0,,,0.0,1.0,1.0,1.0,,,,2.0,3092
42,,6800000.0,51.0,9.0,31.0,4.0,2.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3688
43,,6950000.0,48.1,10.9,25.4,13.0,2.0,,,1.0,1.0,0.0,1.0,,,,1.0,2728
44,3.0,7304760.0,59.1,20.8,23.0,7.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0,5751
45,,7399990.0,56.0,10.0,20.15,12.0,2.0,1.0,,0.0,1.0,,,0.0,1.0,1.0,1.0,7731
46,3.0,7801000.0,72.5,12.6,41.9,2.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,4162
47,,8100000.0,56.2,12.0,28.0,15.0,2.0,1.0,2.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8476
48,,8390000.0,47.0,23.0,23.13,10.0,2.0,,3.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,5785
49,3.0,8540500.0,72.5,12.6,42.0,14.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,5751
50,,8850000.0,43.0,19.0,19.0,10.0,1.0,,3.05,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,5966
51,3.0,8878350.0,78.5,22.5,40.8,11.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,5751
52,,8800000.0,67.0,12.0,34.0,10.0,3.0,,,,,1.0,0.0,,,,2.0,5000
53,,8800000.0,62.3,,,7.0,2.0,,,0.0,1.0,,,0.0,1.0,,1.0,7549
54,,9190000.0,58.7,11.0,37.0,3.0,2.0,1.0,,1.0,0.0,0.0,1.0,,,2.0,1.0,589
55,3.0,9500240.0,79.7,17.0,41.5,9.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,4076
56,,9800000.0,70.4,7.0,57.0,1.0,3.0,1.0,2.8,0.0,1.0,1.0,0.0,,,1.0,1.0,3766
57,,11000000.0,57.5,22.0,26.0,6.0,3.0,1.0,,1.0,0.0,1.0,1.0,,,2.0,1.0,4410
58,,11200000.0,56.4,,,9.0,2.0,2.0,2.8,1.0,0.0,1.0,1.0,,,3.0,1.0,9115
59,,12300000.0,94.2,12.0,48.0,9.0,3.0,1.0,2.85,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,5993
60,3.0,13414421.0,103.1,,52.9,2.0,4.0,,,,,,,1.0,0.0,,1.0,5397
61,,13500000.0,80.0,13.0,45.0,12.0,3.0,1.0,2.74,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4560
62,,13800000.0,78.6,10.7,40.1,10.0,3.0,1.0,,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1095
63,3.0,13940619.0,104.9,,54.0,13.0,4.0,,,,,,,1.0,0.0,,1.0,2625
64,,15700000.0,94.6,14.0,60.7,5.0,3.0,1.0,,,,,,1.0,0.0,,2.0,2573
65,,16950000.0,108.84,10.7,59.3,21.0,4.0,,,,,,,,,,0.0,1095
66,3.0,6065820.0,42.3,16.0,15.3,12.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0,5176
67,3.0,7611760.0,56.3,21.1,21.0,22.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0,8281
68,3.0,7290630.0,53.1,18.8,20.3,9.0,2.0,,2.65,0.0,2.0,0.0,1.0,1.0,0.0,,1.0,4162
69,3.0,5496290.0,35.9,17.0,10.1,12.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
70,1.0,8900000.0,62.2,12.8,32.2,8.0,2.0,,2.7,0.0,2.0,1.0,0.0,,,3.0,2.0,138
71,3.0,6120810.0,42.3,16.0,15.2,15.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0,7411
72,2.0,1990000.0,22.2,,20.0,1.0,1.0,,,1.0,0.0,0.0,1.0,,,0.0,2.0,7769
73,2.0,2590000.0,18.5,,16.5,2.0,1.0,,3.1,1.0,0.0,1.0,0.0,,,0.0,2.0,2379
74,3.0,4291560.0,25.2,6.0,12.3,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
75,2.0,6740000.0,35.0,10.0,16.0,4.0,1.0,,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1050
76,3.0,8512341.0,75.0,34.7,25.1,8.0,2.0,,2.89,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,654
77,1.0,6700000.0,64.1,12.7,34.0,15.0,2.0,1.0,3.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9081
78,3.0,8722250.0,69.5,17.8,35.6,2.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0,3221
79,3.0,8782200.0,57.4,,28.7,15.0,2.0,,3.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,8498
80,1.0,10000000.0,84.8,12.8,46.1,8.0,3.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3934
81,1.0,11000000.0,71.6,,,12.0,3.0,1.0,2.7,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3388
