id,new,latitude,longitude,district,street,address,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating
264,0.0,55.518117000000004,37.355139,11.0,улица 1-я Нововатутинская,3,2019.0,2.0,12.0,1.0,1.0,1.0,0.0,1.0,3.0
6079,0.0,55.64191999999999,37.352156,7.0,мкр. 10-й,к1014,1981.0,3.0,22.0,0.0,1.0,1.0,,1.0,0.0
5829,0.0,55.770011,37.38622,7.0,Рублевское шоссе,68,2002.0,3.0,24.0,0.0,1.0,1.0,,,0.0
5758,0.0,55.739934,37.42607,7.0,Рублевское шоссе,93К2,2011.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
6761,0.0,55.649921,37.467994,7.0,улица Академика Анохина,58К2,2005.0,3.0,22.0,0.0,1.0,1.0,,0.0,0.0
6300,0.0,55.594143,37.460664,11.0,бульвар Веласкеса,7к6,2019.0,,15.0,0.0,1.0,1.0,2.0,1.0,
4958,0.0,55.736265,37.666108,0.0,Марксистская улица,7,2001.0,2.0,26.0,0.0,1.0,0.0,,1.0,0.0
5696,0.0,55.79975,37.493389,8.0,1-й Волоколамский проезд,5,1971.0,0.0,5.0,1.0,0.0,0.0,,,0.0
1131,0.0,55.804324,37.469207,8.0,улица Маршала Василевского,9К3,1958.0,0.0,5.0,0.0,1.0,0.0,,,0.0
3782,0.0,55.792857,37.508679,1.0,улица Куусинена,23К2,2001.0,2.0,12.0,0.0,1.0,1.0,,1.0,0.0
1183,0.0,55.884716000000004,37.521668,1.0,Клязьминская улица,8,1967.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
5033,1.0,55.544886,37.478459,11.0,Бунинские Луга ЖК,к2.2/2,2021.0,3.0,9.0,0.0,1.0,1.0,1.0,,
4076,1.0,55.544045999999994,37.478055,11.0,Бунинские Луга ЖК,к2.5/2,2021.0,3.0,9.0,0.0,1.0,1.0,1.0,,
9472,0.0,55.638079000000005,37.306881,11.0,улица Бориса Пастернака,43,2019.0,3.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0
4042,0.0,55.86405,37.515075,1.0,Флотская улица,29К3,1969.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
7904,0.0,55.580507999999995,37.159207,11.0,улица Черничная,53,2019.0,,3.0,1.0,0.0,0.0,1.0,0.0,
4151,0.0,55.866732999999996,37.561122,1.0,Дубнинская улица,37К2,2005.0,,22.0,0.0,1.0,1.0,,1.0,0.0
7411,1.0,55.617017000000004,37.413717999999996,11.0,Саларьево Парк ЖК,30,2021.0,3.0,16.0,0.0,1.0,1.0,1.0,,
8883,0.0,55.754578,37.694953000000005,4.0,улица Золоторожский Вал,11С9,,,13.0,0.0,1.0,1.0,,,
207,0.0,55.7422,37.587236,0.0,Большой Левшинский переулок,8А,2016.0,,5.0,0.0,1.0,0.0,,,
6187,1.0,55.803272,37.348653000000006,7.0,Мякинино Парк ЖК,2с2,2021.0,3.0,25.0,0.0,1.0,1.0,,,
3766,0.0,55.619513,37.264031,11.0,улица Омская,17,2017.0,2.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0
4410,0.0,55.565931000000006,37.479376,11.0,улица Фитаревская,19,2013.0,2.0,25.0,0.0,1.0,1.0,2.0,1.0,0.0
1535,0.0,55.542126,37.490209,11.0,улица Александры Монаховой,96к2,2016.0,2.0,18.0,1.0,1.0,1.0,1.0,,0.0
7003,0.0,55.867031000000004,37.666171000000006,2.0,Ленская улица,12,1964.0,0.0,5.0,1.0,0.0,0.0,,,0.0
3388,0.0,55.566975,37.474228000000004,11.0,улица Ясная,6,2012.0,0.0,15.0,0.0,1.0,1.0,,,0.0
1473,1.0,55.500595999999994,37.519207,11.0,Остафьево ЖК,к3,2020.0,,14.0,0.0,1.0,1.0,1.0,,
5100,0.0,55.49414,37.552031,11.0,Южный кв-л,7,2015.0,2.0,21.0,0.0,1.0,1.0,,1.0,1.0
1682,0.0,55.767295999999995,37.60673,0.0,улица Чехова,4,2012.0,3.0,17.0,0.0,1.0,1.0,,,0.0
8370,0.0,55.500285,37.488044,11.0,пос. Остафьево,12,1987.0,0.0,5.0,1.0,0.0,0.0,,,0.0
2204,0.0,55.542126,37.490209,11.0,улица Александры Монаховой,88к2,2017.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0
7646,1.0,55.627265,37.342427,11.0,бульвар Андрея Тарковского,6,2016.0,2.0,9.0,0.0,1.0,1.0,,1.0,0.0
3029,1.0,55.790195,37.472260999999996,8.0,улица Берзарина,30К3,2021.0,2.0,25.0,1.0,1.0,1.0,0.0,,0.0
1808,0.0,55.818169,37.400962,8.0,улица Исаковского,6К1,1985.0,3.0,12.0,0.0,1.0,0.0,,,0.0
761,0.0,55.519177,37.347925,11.0,проспект Нововатутинский,11,2014.0,3.0,17.0,0.0,1.0,1.0,1.0,,0.0
7495,0.0,55.80445,37.413224,8.0,улица Маршала Катукова,24к3,2010.0,2.0,28.0,0.0,1.0,1.0,0.0,1.0,0.0
2364,0.0,55.85011,37.355399,8.0,Митинская улица,48,1992.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
8204,0.0,55.860746,37.372431,8.0,Муравская улица,42к1,2019.0,2.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0
8078,0.0,55.776912,37.487389,8.0,улица Демьяна Бедного,15,2011.0,2.0,16.0,0.0,1.0,1.0,0.0,,0.0
1352,1.0,55.78686999999999,37.494979,8.0,3-я Хорошевская улица,7к2,2019.0,2.0,22.0,0.0,1.0,1.0,1.0,,0.0
9720,0.0,55.782486,37.465317,8.0,улица Генерала Глаголева,16К2,1976.0,4.0,14.0,0.0,1.0,0.0,,1.0,0.0
6712,1.0,55.508962,37.344458,11.0,Кленовые Аллеи ЖК,к8,2020.0,,13.0,0.0,1.0,1.0,,,
2407,0.0,55.848558999999995,37.419045000000004,8.0,бульвар Яна Райниса,31,2013.0,2.0,32.0,1.0,1.0,1.0,0.0,1.0,0.0
8124,0.0,55.796526,37.486859,8.0,улица Маршала Бирюзова,31,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0
2249,0.0,55.794062,37.484649,8.0,улица Расплетина,22к2,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0
5102,1.0,55.767575,37.500396,8.0,3-й Силикатный проезд,4К2С5,2021.0,2.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0
5251,0.0,55.826721,37.600109,2.0,Ботаническая улица,17к1,2010.0,3.0,17.0,0.0,1.0,0.0,,1.0,0.0
3513,0.0,55.856467,37.608814,2.0,Отрадный проезд,9К2,1967.0,3.0,12.0,0.0,1.0,0.0,,1.0,0.0
3983,0.0,55.773702,37.481253,8.0,улица Мневники,21,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
7507,0.0,55.898639,37.397135,8.0,Новокуркинское шоссе,25К1,2003.0,0.0,7.0,1.0,0.0,0.0,,,0.0
9623,0.0,55.853127,37.421003000000006,8.0,Туристская улица,21,1979.0,3.0,12.0,0.0,1.0,1.0,,,0.0
8480,0.0,55.857422,37.407438,8.0,улица Вилиса Лациса,41,1980.0,3.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
5428,0.0,55.592256000000006,37.459361,11.0,бульвар Веласкеса,6,2019.0,,13.0,0.0,1.0,1.0,0.0,1.0,
3201,0.0,55.784977000000005,37.56194,1.0,Ленинградский проспект,вл31,2019.0,5.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0
7562,0.0,55.817834999999995,37.464822999999996,8.0,Волоколамское шоссе,60К2,2001.0,2.0,17.0,0.0,1.0,1.0,,1.0,2.0
14,0.0,55.879601,37.57271,2.0,Инженерная улица,13,1968.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
4948,0.0,55.566155,37.478333,11.0,улица Фитаревская,19к1,2013.0,2.0,15.0,1.0,1.0,1.0,,1.0,0.0
6025,0.0,55.859609999999996,37.372422,8.0,Муравская улица,42к2,2019.0,2.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0
7033,0.0,55.815554000000006,37.624373,2.0,2-я Новоостанкинская улица,19,1969.0,0.0,14.0,0.0,1.0,1.0,,1.0,0.0
2615,0.0,55.789315,37.477084999999995,8.0,улица Берзарина,26,,,6.0,1.0,1.0,1.0,0.0,,0.0
546,0.0,55.766653000000005,37.833545,3.0,Саянская улица,16к1,1992.0,4.0,16.0,0.0,1.0,1.0,,1.0,0.0
2416,0.0,55.814861,37.399336,8.0,улица Кулакова,4к1,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
2111,0.0,55.78035,37.450028,8.0,проспект Маршала Жукова,78к5,2011.0,2.0,32.0,1.0,1.0,1.0,0.0,1.0,0.0
